entry,meaning,ipa,example_sentence,translated_sentence
diligence,"【名】勤勉, 精励.",/dɪˈlɪdʒəns/,She achieved success through her diligence and hard work.,彼女は勤勉さと努力によって成功を収めた。
recruitment,"【名】採用, 募集.",/rɪˈkruːtmənt/,Our company is currently recruiting new employees.,私たちの会社は現在、新しい社員を募集しています。
transmit,"【動】...を送信する, 伝える.",/trænzˈmɪt/,The radio waves transmit information from one device to another.,無線波は情報を一つの機器から別の機器に伝えます。
intrigue,【名】陰謀;【動】...の興味を引く.,/ɪnˈtriːɡ/,The mysterious letter filled her with intrigue.,その謎めいた手紙に、彼女は好奇心をそそられた。
physics,【名】物理学.,/fɪˈzɪksɪz/,I studied physics in college.,私は大学で物理学を勉強しました。
virtue,"【名】美徳, 長所.",/'vɜːrtʃuː/,What do you feel are the virtues of this company?,この会社の良いところはどこだと思いますか？
afterward,"【副】その後, 後で.",/ˈæftərwərd/,I will clean the house afterward.,私はあとで家を掃除します。
commerce,"【名】商業, 通商.",/ˈkɒmɜːs/,E-commerce has revolutionized the way we shop.,Eコマースは私たちの買い物の仕方を革命化しました。
withdrawal,"【名】撤退, 引き出し.",/wɪðˈdrɔəl/,I made a withdrawal from the bank yesterday.,昨日、私は銀行から引き出しをしました。
cargo,"【名】貨物, 荷物.",/'kɑːrɡoʊ/,The cargo ship arrived at the port.,貨物船が港に到着しました。
instinct,"【名】本能, 直感.",/ˈɪnstɪŋkt/,Her instinct told her to trust him.,彼女の本能は彼を信じるように言った。
memorandum,"【名】覚書, メモ.",/mɛməˈrændəm/,I need to write a memorandum for the meeting tomorrow.,明日の会議のためにメモを書かなければなりません。
workshop,"【名】ワークショップ, 研修会.",/'wɜːrkʃɒp/,My father spends most of his time in his workshop.,私の父は彼の仕事場でほとんどの時間を過ごします。
accusation,"【名】告発, 非難.",/ˌæk.jʊ.ˈzeɪ.ʃən/,He made a false accusation against her.,彼は彼女に対して虚偽の告発をした。
wheat,【名】小麦.,/wiːt/,Wheat is a staple crop in many countries.,小麦は多くの国で主要な作物です。
distribution,"【名】分配, 配分.",/dɪstrɪˈbjuːʃən/,The distribution of goods is an important aspect of the supply chain.,商品の流通はサプライチェーンの重要な側面です。
obscure,"【形】不明瞭な, 曖昧な;【動】...を隠す.",/əbˈskjʊr/,The meaning of the poem was obscure.,詩の意味は不明瞭だった。
destination,"【名】目的地, 行き先.",/dɛstɪˈneɪʃən/,What's the destination of this ship?,この船の目的地はどこですか。
threshold,"【名】閾値, 境界.",/ˈθɹɛʃ.hoʊld/,The threshold for passing the exam is set at 70%.,試験の合格ラインは70％に設定されています。
clout,"【名】影響力, 勢力.",/klɑʊt/,She used her clout to get the promotion.,彼女は昇進を得るために自分の影響力を使った。
sterling,"【形】スターリング銀製の, 純正の.",/'stɜːrlɪŋ/,He paid for the item with a sterling silver coin.,彼はその商品の代金を純銀貨で支払った。
ballot,"【名】投票, 投票用紙.",/ˈbælət/,I filled out my ballot for the upcoming election.,私は今後の選挙のために私の投票用紙を記入しました。
unveil,"【動】...を明らかにする, 公表する.",/ʌnˈveɪl/,The company will unveil its new product next week.,会社は来週新製品を発表します。
subsidiary,"【名】子会社, 補助的な.",/səbˈsɪdiˌɛri/,The subsidiary company provides support to the main company.,子会社は親会社に支援を提供します。
particle,"【名】粒子, 微粒子.",/ˈpɑːrtɪkəl/,The particle is very small.,その粒子はとても小さいです。
syndicate,"【名】シンジケート, 企業連合.",/sɪn.dɪ.kət/,The syndicate is responsible for organizing illegal activities.,シンジケートは違法な活動を組織する責任があります。
casualty,"【名】犠牲者, 死傷者.",/'kæʒuəlti/,The casualty rate in the war was devastating.,戦争の死傷者率は壊滅的でした。
proliferation,"【名】急増, 拡散.",/prəˌlɪfəˈreɪʃən/,The proliferation of technology has greatly impacted our daily lives.,技術の普及は私たちの日常生活に大きな影響を与えています。
feedback,"【名】フィードバック, 反応.",/ˈfiːdbæk/,I appreciate your feedback on the project.,プロジェクトに対するフィードバックをいただけると幸いです。
crunch,"【名】危機, 危機的状況.",/krʌntʃ/,I love the sound of leaves crunching under my feet.,私は足元でカサカサと音を立てる葉の音が好きです。
proposition,"【名】提案, 命題.",/prəˈpɑzɪʃən/,The proposition was met with strong opposition from the members.,その提案はメンバーから強い反対を受けました。
scatter,"【動】...を散らす, 散乱させる.",/'skætər/,The wind scattered the leaves across the yard.,風が葉っぱを庭中に散らかした。
disguise,"【動】...を変装させる, 隠す;【名】変装, 偽装.",/dɪsˈɡaɪz/,He wore a clever disguise to hide his true identity.,彼は自分の正体を隠すために巧妙な変装をした。
rebuild,"【動】...を再建する, 復興する.",/ˌriːˈbɪld/,"After the earthquake, the city had to rebuild its infrastructure.",地震後、市はインフラを再建する必要がありました。
subsidize,"【動】...に補助金を与える, 助成する.",/səbˈsaɪ.daɪz/,The government decided to subsidize the new renewable energy project.,政府は新しい再生可能エネルギープロジェクトを補助することを決定しました。
oblige,"【動】...を義務付ける, 余儀なくさせる.",/əˈblaɪdʒ/,I am obliged to help my friend move to a new apartment.,私は友人が新しいアパートに引っ越すのを手伝わなければならない義務があります。
inventory,"【名】在庫, 在庫品.",/ˈɪnvəntəri/,I need to check the inventory before [[placing the order.]],注文する前に在庫を確認する必要があります。
queue,"【名】列, 待ち行列.",/kjuː/,I waited in the queue for over an hour.,私は1時間以上列に並んで待ちました。
rental,"【名】賃貸, レンタル.",/ˈrɛntəl/,I need to return my rental car by tomorrow.,明日までにレンタカーを返さなければなりません。
abolish,"【動】...を廃止する, 撤廃する.",/əˈbɑlɪʃ/,The government decided to abolish the old law.,政府は古い法律を廃止することを決定した。
absorb,"【動】...を吸収する, 吸い取る.",/əbˈsɔːrb/,Plants absorb sunlight to perform photosynthesis.,植物は光合成を行うために太陽光を吸収します。
accurately,【副】正確に.,/ˈækjərətli/,He accurately described what happened there.,彼はそこで起きたことを正確に描写した。
acre,【名】エーカー(面積の単位).,/ˈeɪkər/,The farm spans over fifty acres.,その農場は50エーカー以上に広がっています。
adhere,"【動】...を固守する, 付着する.",/ədˈhɪər/,It is important to adhere to the rules and regulations.,規則と規制を守ることが重要です。
administer,"【動】...を管理する, 実施する.",/ədˈmɪnəstər/,The mayor will administer the city for the next four years.,市長は次の4年間、この都市を治めます。
admission,"【名】入場, 入学.",/ədˈmɪʃən/,The museum offers free admission to students on weekends.,週末には、学生は無料でその博物館に入場できる。
affiliate,"【名】関連会社, 支部.",/əˈfɪli.eɪt/,We decided to affiliate our company with the international organization to expand our business.,私たちはビジネスを拡大するために、私たちの会社を国際組織に加盟させることにしました。
aggregate,"【名】集計, 総計;【動】...を集計する.",/ˈæɡrɪɡət/,The company will aggregate data from various sources to analyze customer behavior.,会社は顧客の行動を分析するために、さまざまな情報源からデータを集約します。
alike,"【形】同様に, 似ている;【副】同じように.",/əˈlaɪk/,"Despite their differences, the two paintings are very much alike.",それらの違いにもかかわらず、その2つの絵は非常に似ています。
ambition,"【名】野心, 大望.",/æmˈbɪʃən/,His ambition to become a successful entrepreneur is truly inspiring.,彼が成功した起業家になるという大望は本当に感動的です。
ambitious,"【形】野心的な, 大望のある.",/æmˈbɪʃəs/,He was ambitious of success in business.,彼は実業家として成功したいと熱望していた。
aluminum,【名】アルミニウム.,/əˈluːmɪnəm/,The soda can is made of aluminum.,そのソーダ缶はアルミニウムでできています。
amid,"【前】〜の中で, ...に囲まれて.",/əˈmɪd/,She found her peace amid the chaos.,彼女は混乱の中に平和を見つけました。
amongst,"【前】〜の中で, 〜の間に.",/əˈmʌŋst/,The truth is often found hidden amongst the lies.,真実はしばしば嘘の間に隠されて見つかるものです。
analytic,【形】分析的な.,/ænə'lɪtɪk/,She has a very analytic mind.,彼女は非常に分析的な考え方を持っています。
appetite,"【名】食欲, 欲求.",/ˈæpəˌtaɪt/,My appetite has decreased significantly since I started this new diet.,この新しいダイエットを始めてから、私の食欲は大幅に減少しました。
architect,"【名】建築家, 設計者.",/ˈɑːrkɪtɛkt/,My brother is studying to become an architect.,私の兄は建築家になるために勉強しています。
assault,"【名】攻撃, 襲撃;【動】...を攻撃する.",/əˈsɔːlt/,The police are investigating the assault that happened last night.,警察は昨夜発生した暴行事件を調査しています。
assignment,"【名】任務, 割り当て.",/əˈsaɪnmənt/,When will your assignment be completed?,君の宿題はいつ終わりますか。
auto,"【形】自動の, 自動車の;【名】自動車.",/ˈɔːtoʊ/,I need to get my auto serviced this weekend.,今週末、私の自動車のメンテナンスをしなければなりません。
axis,"【名】軸, 中心線.",/ˈæksɪs/,The earth rotates on its axis.,地球はその軸上で回転します。
backward,"【形】後方の, 遅れた.",/bækwərd/,He took a step backward when he saw the snake.,彼は蛇を見て後方へ一歩下がった。
bankrupt,【形】破産した;【動】...を破産させる.,/'bæŋk.rʌpt/,"That company is, in effect, bankrupt.",その会社は事実上は倒産だ。
baseline,"【名】基準, 基本線.",/ˈbeɪsˌlaɪn/,The baseline data is essential for the research.,基線データは、その研究にとって不可欠です。
beam,"【名】光線, ビーム;【動】光を発する.",/biːm/,The construction worker is installing the beam in the new building.,建設作業員が新しい建物にはりを取り付けています。
beef,【名】牛肉.,/biːf/,I love eating beef.,私は牛肉を食べるのが大好きです。
behavioral,"【形】行動の, 行動に関する.",/bɪˈheɪvjərəl/,His behavioral problems are causing issues at school.,彼の行動上の問題が学校で問題を引き起こしています。
bitter,"【形】苦い, つらい.",/ˈbɪtər/,This coffee is too bitter.,このコーヒーはにがすぎます。
born,"【動】生まれる, 生じる.",/bɔrn/,She was born in a small town.,彼女は小さな町で生まれました。
blank,"【名】空白, 余白;【形】空白の, 白紙の.",/blæŋk/,The sky was blank and empty.,空は空しく、何もない状態だった。
bonus,"【名】ボーナス, 特別手当.",/'boʊnəs/,I received a bonus for my hard work.,私は頑張った成果としてボーナスを受け取りました。
brave,【形】勇敢な;【動】...に立ち向かう.,/breɪv/,She showed a brave face despite her fear.,彼女は恐怖にもかかわらず勇敢な顔を見せた。
brick,【名】レンガ.,/brɪk/,He built a house using bricks.,彼はれんがを使って家を建てました。
broadband,【形】ブロードバンドの;【名】ブロードバンド.,/ˈbrɔːdbænd/,I have a broadband internet connection at home.,私は家で広帯域のインターネット接続を使っています。
broker,"【名】仲介者, ブローカー;【動】仲介する.",/'broʊkər/,I hired a broker to help me buy a house.,私は仲介業者を雇って家を買うのを手伝ってもらいました。
bubble,"【名】泡, バブル.",/ˈbʌbəl/,The children are blowing bubbles.,子供たちがシャボン玉を吹いている。
buffer,"【名】緩衝材, 緩衝器.",/ˈbʌfər/,I need to use a buffer to smooth out the rough edges of the wood.,木材のザラザラした部分を滑らかにするためにバッファを使う必要があります。
bureaucracy,"【名】官僚制度, 官僚主義.",/bjuːˈrɒkrəsi/,The bureaucracy in this government is incredibly inefficient.,この政府の官僚制度は非常に効率が悪いです。
calculation,"【名】計算, 算出.",/kæl.kjuˈleɪ.ʃən/,I need to do some calculation for this project.,このプロジェクトのために計算をしなければなりません。
centralize,"【動】...を集中させる, 中央集権化する.",/sɛntrəlaɪz/,The company decided to centralize its operations in one location.,会社はオペレーションを一箇所に集約することを決定しました。
certify,"【動】...を証明する, 認証する.",/sərˈtɪfaɪ/,The document needs to be certified before it can be submitted.,書類は提出する前に証明される必要があります。
click,【動】...をクリックする;【名】クリック音.,/klɪk/,"If you enjoyed this, please give a click on the vote link!",お楽しみいただけましたら、ポチっと１票お願いいたします！
cognitive,"【形】認知の, 認知的な.",/kɑˈɡnɪtɪv/,Cognitive abilities decline with age.,年齢とともに認知能力は低下する。
collar,"【名】襟, カラー.",/'kɑlər/,She adjusted her collar before leaving the house.,彼女は家を出る前にえりを整えた。
commodity,"【名】商品, 物品.",/kəˈmɑːdəti/,The price of the commodity has increased due to high demand.,需要の高まりにより、商品の価格が上昇しました。
comparative,"【形】比較の, 比較による.",/kəmˈpær.ə.tɪv/,She is taller than her sister.,彼女は妹よりも背が高いです。
compensate,"【動】...を補償する, 埋め合わせる.",/kɑm.pənˌseɪt/,The company will compensate the employees for their overtime work.,会社は従業員に残業代を補償します。
conference,"【名】会議, 大会.",/ˈkɑnfərəns/,I attended a conference last week.,先週、私は会議に出席しました。
confer,"【動】...を授与する, 協議する.",/'kɑnfɜr/,They confer with each other before making a decision.,彼らは決定をする前に相談する。
confine,"【動】...を制限する, 閉じ込める.",/kənˈfaɪn/,The study will confine its focus on children under 10 years old.,その研究は10歳未満の子供に焦点を限定する。
conform,"【動】...に従う, 順応する.",/kənˈfɔrm/,It is important to conform to the rules and regulations of the company.,会社の規則や規制に従うことが重要です。
confront,"【動】...に直面する, 立ち向かう.",/kənˈfrʌnt/,I had to confront my fears in order to overcome them.,私はそれらを克服するために恐怖に立ち向かわなければならなかった。
confirmation,"【名】確認, 承認.",/kɑːn.fərˈmeɪ.ʃən/,I need confirmation that the package has been delivered.,私は荷物が配達されたことを確認する必要があります。
contend,"【動】...と主張する, 争う.",/kənˈtɛnd/,I contend that education is the key to success.,私は教育が成功の鍵であると強く主張する。
contrary,"【形】反対の;【名】逆, 反対.",/'kɒntrəri/,Their proposition is contrary to ours.,彼らの提案は我々のと反対である。
controller,"【名】コントローラー, 制御装置.",/kənˈtroʊlər/,The controller manages the operations of the company.,コントローラーは会社の業務を管理します。
controversy,"【名】論争, 論議.",/kɒntrəˈvɜːrsi/,There is a lot of controversy surrounding the new government policy.,新しい政府の政策には多くの論争がある。
convenience,"【名】便利さ, 利便性.",/kənˈviːniəns/,Convenience is important when choosing a place to live.,住む場所を選ぶ際には、便利さが重要です。
converge,"【動】収束する, 集中する.",/'kɒnvɜːdʒ/,The protesters will converge at the city center.,抗議者たちは市の中心部で集まる予定です。
convertible,【形】変換可能な;【名】コンバーチブル.,/kənˈvɜːrtəbəl/,"The car is convertible, allowing you to enjoy both open-air and closed-top driving.",この車はオープンエアとクローズドトップの両方の運転を楽しむことができるコンバーチブル車です。
convenient,"【形】便利な, 都合の良い.",/kənˈviːniənt/,This app is very convenient for managing your schedule.,このアプリはスケジュール管理にとても便利です。
conviction,"【名】確信, 信念.",/kənˈvɪkʃən/,He was filled with conviction that he could achieve his goals.,彼は自分の目標を達成できるという確信に満ちていた。
cooperative,"【形】協同の, 協力的な;【名】協同組合.",/koʊˈɑpərətɪv/,They have a cooperative approach to problem-solving.,彼らは問題解決に協力的なアプローチを持っています。
convict,【動】...を有罪と宣告する;【名】有罪判決を受けた人.,/kənˈvɪkt/,The jury found the defendant guilty and convicted him of the crime.,陪審団は被告を有罪と認定し、犯罪で有罪とした。
corn,"【名】トウモロコシ, 穀物.",/kɔːrn/,The farmer grew corn in his field.,農夫は自身の畑でトウモロコシを育てた。
costly,"【形】費用がかかる, 高価な.",/'kɒstli/,The designer handbag was too costly for me to afford.,私には手の届かないほどデザイナーハンドバッグは高価でした。
corrupt,"【形】腐敗した, 不正な;【動】...を腐敗させる.",/kəˈrʌpt/,The corrupt politician was finally exposed and arrested.,腐敗した政治家はついに暴露され、逮捕されました。
creativity,"【名】創造性, 創造力.",/kɹiːˈeɪtɪvɪti/,Creativity is the key to innovation.,創造性は革新の鍵です。
credibility,"【名】信頼性, 信用.",/krəˈdɪbɪləti/,The credibility of the research findings was questioned.,研究結果の信頼性が問われました。
credible,"【形】信頼できる, 確実な.",/'krɛdəbəl/,He is a credible source of information.,彼は信頼できる情報源です。
crush,"【動】...を押しつぶす, 粉砕する.",/krʌʃ/,I have a crush on my coworker.,私は同僚に恋をしています。
deadline,"【名】締め切り, 期限.",/ˈdɛdˌlaɪn/,I need to submit my report before the deadline.,最終期限までにレポートを提出しなければなりません。
deliberately,"【副】意図的に, 慎重に.",/dɪˈlɪbərətli/,He deliberately ignored her.,彼は故意に彼女を無視した。
designate,"【動】...を指名する, 示す.",/dɪˈzɪɡ.neɪt/,I will designate you as the team leader.,私はあなたをチームリーダーと指定します。
deter,"【動】阻止する, 思いとどまらせる;【名】抑止力.",/dɪˈtɜːr/,Her determination did not deter him from pursuing his dreams.,彼女の決意は彼が夢を追い求めることを躊躇わせなかった。
dictate,"【動】命じる, 指図する;【名】命令, 規定.",/dɪkˈteɪt/,She asked her assistant to dictate the letter.,彼女はアシスタントに手紙を書き取らせるよう頼んだ。
differential,"【名】差異, 差動, 格差.",/dɪˌfɛrənʃəl/,The differential equation is difficult to solve.,微分方程式は解くのが難しいです。
differentiate,"【動】区別する, 差別化する.",/dɪˈfɛrəntʃieɪt/,It is important to differentiate between fact and opinion.,事実と意見を区別することが重要です。
dip,"【動】浸す, 少しだけつける;【名】浸すこと, 一時的な下落.",/dɪp/,I like to dip my fries in ketchup.,私はポテトをケチャップにつけるのが好きです。
disable,"【動】無効にする, 使用不能にする.",/dɪˈseɪbəl/,They disable the security system.,彼らはセキュリティシステムを無効にします。
discourage,"【動】思いとどまらせる, 萎縮させる.",/dɪsˈkʌrɪdʒ/,His negative comments discouraged her from pursuing her dreams.,彼の否定的なコメントは、彼女が夢を追い求める意欲を削ぐものだった。
dissent,"【名】異議, 反対;【動】異議を唱える.",/dɪˈsɛnt/,She expressed her dissent during the meeting.,彼女は会議中に異議を唱えました。
distort,"【動】歪める, ねじ曲げる.",/dɪˈstɔːrt/,The funhouse mirrors distort your reflection.,遊園地の鏡はあなたの映りをゆがめます。
distinctive,"【形】特徴的な, 独特の.",/dɪˈstɪŋktɪv/,The restaurant's distinctive decor made it stand out from its competitors.,そのレストランの特徴的な装飾は、競合他社より際立っていました。
diverse,"【形】多様な, さまざまな.",/dɪˈvɜːrs/,The team is made up of diverse individuals from different backgrounds.,チームは、異なるバックグラウンドを持つ多様な人で構成されています。
documentation,"【名】文書化, 記録.",/dɑkjəmɛnˈteɪʃən/,The documentation for this software is comprehensive and easy to understand.,このソフトウェアのドキュメンテーションは包括的で理解しやすいです。
drawback,"【名】欠点, 不利な点.",/ˈdrɔːbæk/,One major drawback of living in a big city is the high cost of living.,大都市に住むことの大きな欠点は、生活費の高さです。
drain,"【動】排水する, (力を)消耗させる;【名】排水路, 排水設備.",/dreɪn/,The plumber fixed the drain and now the water flows smoothly.,配管工は排水溝を修理して、今は水がスムーズに流れます。
duplicate,"【動】複製する, 二重にする;【形】複製の, 二重の.",/djuːplɪkət/,Be careful not to duplicate any files when you transfer them to the new folder.,新しいフォルダにファイルを移動する際に、重複しないように注意してください。
duration,"【名】持続時間, 期間.",/djʊˈreɪʃən/,The duration of the movie was two hours.,映画の時間は2時間でした。
eager,"【形】熱心な, 熱望する.",/ˈiːɡər/,She is eager to learn new things.,彼女は新しいことを学びたいと熱望しています。
economist,【名】経済学者.,/ɪˈkɒnəmɪst/,The economist predicted a recession in the next quarter.,経済学者は次の四半期に景気後退を予測しました。
electrical,"【形】電気の, 電気に関する.",/ɪˈlɛktrɪkəl/,I need to call an electrician to fix the electrical problem in my house.,家の電気の問題を修理するために電気技師に電話しなければなりません。
elite,"【名】エリート, 上位層.",/ɪˈliːt/,He is considered one of the elite in his field.,彼は自分の分野でエリートの一人と見なされています。
eligible,"【形】資格がある, 適任の.",/ɛlɪdʒəbəl/,She is eligible for the scholarship.,彼女は奨学金の対象となる。
embed,"【動】埋め込む, 内蔵する.",/ɪmˈbɛd/,The workers will embed the steel rods into the concrete.,労働者たちは鉄筋をコンクリートに埋め込む予定です。
emergence,"【名】出現, 発生.",/ɪˈmɜːrdʒəns/,The emergence of new technologies has revolutionized the way we live.,新しい技術の出現は私たちの生活のあり方を革命的に変えました。
enforce,"【動】施行する, 実施する.",/ɪnˈfɔːrs/,The police officer was tasked to enforce the new traffic regulations.,警察官は新しい交通規制を執行するように指示されました。
engagement,"【名】関与, 婚約.",/ɪnˈɡeɪdʒmənt/,The couple announced their engagement last night.,夫婦は昨夜、婚約を発表しました。
equip,"【動】装備する, 準備する.",/ɪˈkwɪp/,He equipped himself with the necessary tools for the job.,彼は仕事のために必要な道具を装備した。
erode,"【動】侵食する, 弱める.",/ɪˈroʊd/,The constant exposure to water erode the rocks over time.,水に常にさらされることで、時間の経過とともに岩が侵食される。
excellence,"【名】優秀さ, 卓越.",/ˈɛksələns/,She demonstrated excellence in her work.,彼女は仕事で優秀さを示しました。
execute,"【動】実行する, 実施する.",/ˈɛksəˌkjut/,He will execute the plan tomorrow.,彼は明日計画を実行する予定です。
favorable,"【形】好意的な, 有利な.",/'feɪvərəbəl/,He received a favorable response from the audience.,彼は観客から好意的な反応を受けました。
formerly,"【副】以前は, かつて.",/fɔːr.mər.li/,He was formerly a doctor.,彼は以前は医者でした。
forum,"【名】フォーラム, 公開討論.",/ˈfɔː.rəm/,I attended a forum on ancient Roman history.,私は古代ローマの歴史に関するフォーラムに参加しました。
freely,"【副】自由に, 無制限に.",/ˈfriːli/,You can express yourself freely in this art class.,この美術クラスでは自由に自己表現することができます。
freight,"【名】貨物, 運送.",/frɛɪt/,The freight train arrived at the station on time.,貨物列車は時間通りに駅に到着しました。
gallon,【名】ガロン (液量の単位).,/ˈɡælən/,I bought a gallon of milk at the grocery store.,私はスーパーマーケットで牛乳を１ガロン買いました。
grim,"【形】厳しい, 恐ろしい;【形】陰気な, 暗い.",/ɡrɪm/,His grim expression scared me.,彼の険しい表情に怖くなった。
graph,"【名】グラフ, 図表.",/ɡræf/,I created a graph to visualize the data.,データを視覚化するためにグラフを作成しました。
grave,"【形】重大な, 重大である;【名】墓, 墓穴.",/ɡreɪv/,The situation is grave and requires immediate attention.,状況は重大であり、即座の対応が必要です。
grip,"【名】握り, 支配力;【動】しっかり握る.",/ɡrɪp/,He had a firm grip on the steering wheel.,彼はハンドルをしっかり握っていた。
gross,"【形】総計の, 全体の;【名】総計, 粗利益.",/ɡroʊs/,The gross amount of sales for the year was $1 million.,その年の総売上高は100万ドルでした。
handset,"【名】携帯電話の受話器, ハンドセット.",/'hændsɛt/,I picked up the handset to answer the call.,私は電話を受けるために送受話器を取りました。
hedge,"【名】ヘッジ, 防御策;【動】生け垣で囲む.",/hɛdʒ/,I trimmed the hedge in my garden.,私は庭の生け垣を刈りました。
hierarchy,"【名】階層, 階層制.",/ˈhaɪəˌrɑrki/,The company has a clear hierarchy with different levels of management.,会社には異なる管理レベルを持つ明確な階層があります。
hurdle,"【名】障害, ハードル.",/ˈhɜːrdl/,He cleared the hurdle with ease.,彼は楽々とハードルをクリアした。
idle,"【形】怠けた, 無用な;【動】怠ける, 時間を無駄にする.",/ˈaɪdəl/,She spends her weekends being idle and relaxing at home.,彼女は週末をアイドルで過ごし、家でリラックスしています。
incorrect,"【形】誤った, 不正確な.",/ɪnkəˈrɛkt/,He gave me incorrect directions to the restaurant.,彼は私にレストランへの間違った道順を教えました。
inability,"【名】無力, 不能.",/ɪnəˈbɪlɪti/,"Despite his best efforts, he was unable to lift the heavy box.",彼は最善を尽くしたが、重い箱を持ち上げることができなかった。
inclusion,"【名】包含, 含有.",/ɪnˈkluːʒən/,The inclusion of diverse perspectives is essential for a well-rounded discussion.,多様な視点の包括は、円滑な議論に不可欠です。
infect,"【動】感染させる, 影響を及ぼす.",/ɪnˈfɛkt/,The virus can infect humans easily.,ウイルスは人間を簡単に感染させることができます。
inherit,"【動】相続する, 受け継ぐ.",/ɪnˈhɛrɪt/,She will inherit her father's fortune.,彼女は父の財産を相続する予定です。
initiate,"【動】開始する, 始める.",/ɪˈnɪʃiˌeɪt/,We need to initiate a plan of action to solve this problem.,この問題を解決するために、行動計画を開始する必要があります。
insert,"【動】挿入する, 入れ込む.",/ɪnˈsɜːrt/,Please insert the key into the lock.,鍵をロックに差し込んでください。
intangible,"【形】無形の, 触れることのできない.",/ɪnˈtændʒəbəl/,The concept of love is intangible.,愛の概念は触れることができない。
interim,【形】暫定的な;【名】暫定措置.,/ˈɪntərɪm/,He will serve as the interim CEO until a permanent replacement is found.,彼は常任の代わりが見つかるまで、臨時のCEOとして務めます。
intermediate,"【形】中級の, 中間の.",/ˌɪntərˈmiːdiət/,She is at an intermediate level in French.,彼女のフランス語は中級レベルです。
irrelevant,"【形】無関係な, 無意味な.",/ɪˈrɛləvənt/,The color of the walls is irrelevant to the overall design.,壁の色は全体のデザインには無関係です。
jet,【名】ジェット機;【動】急に動く.,/dʒɛt/,The jet took off in a hurry.,ジェット機は急いで離陸した。
lag,"【名】遅れ, ラグ.",/læɡ/,The game started to lag after the latest update.,最新のアップデート後、ゲームが遅くなり始めました。
leak,"【動】漏れる, 漏らす;【名】漏れ, 漏洩.",/liːk/,There was a leak in the pipe.,パイプに漏れがありました。
logical,"【形】論理的な, 筋の通った.",/lɑːdʒɪkəl/,Logical reasoning is an important skill in the field of philosophy.,論理的な推論は哲学の分野で重要なスキルです。
liberty,"【名】自由, 権利.",/ˈlɪbərti/,She fought for liberty and equality.,彼女は自由と平等のために戦った。
levy,"【名】税, 課徴金;【動】課税する.",/ˈlɛvi/,The government decided to levy a new tax on luxury goods.,政府は高級品に新たな税金を課すことを決定しました。
loop,"【名】ループ, 輪;【動】輪状にする.",/lup/,She threaded the string through the loop.,彼女は糸を輪の中に通した。
loom,"【動】迫りくる, ぼんやり現れる.",/lum/,Dark clouds loom over the horizon.,暗い雲が地平線にぼうっと現れる。
lump,"【名】塊, まとめて;【動】一括りにする.",/lʌmp/,I found a lump on my arm.,私は腕にしこりを見つけました。
lure,"【動】誘惑する, おびき寄せる;【名】魅力, 誘惑.",/ljʊər/,The fisherman used a shiny lure to attract the fish.,漁師は光るルアーを使って魚を引き寄せました。
merge,"【動】合併する, 統合する.",/mɜːrdʒ/,The two companies decided to merge in order to expand their market share.,2つの会社は市場シェアを拡大するために合併することを決定しました。
minus,"【前置詞】マイナス, 不足して.",/mɑɪnəs/,"That will be $1,500, minus the deposit of $150 that you already paid.",すでに支払った150ドルを差し引くと、1500ドルとなる。
missile,"【名】ミサイル, 飛翔体.",/mɪˈsaɪl/,The missile was launched from a military base.,ミサイルは軍事基地から発射されました。
mold,"【名】型, 鋳型;【動】型に入れて作る.",/moʊld/,The statue was cast in a mold.,その像は型に入れられて作られた。
monopoly,"【名】独占, 独占権.",/məˈnɒp.ə.li/,The company has a monopoly on the market.,その会社は市場を独占している。
motive,"【名】動機, 目的.",/ˈmoʊtɪv/,His motive for studying abroad was to learn a new language.,彼の留学の動機は新しい言語を学ぶためでした。
multiply,"【動】増やす, 掛け合わせる.",/mʌl.tɪ.plaɪ/,She likes to multiply her savings by investing in stocks.,彼女は株式投資で貯金を増やすことが好きです。
myth,"【名】神話, 作り話.",/mɪθ/,The story of Atlantis is a famous myth.,アトランティスの物語は有名な神話です。
obtain,"【動】手に入れる, 獲得する.",/əbˈteɪn/,I was able to obtain the information I needed.,必要な情報を手に入れることができました。
offset,"【動】相殺する, 埋め合わせる.",/ˈɒfˌsɛt/,The offset of the painting gives it a unique perspective.,絵のオフセットは独特な視点を与えています。
occurrence,"【名】出来事, 発生.",/əˈkɜrəns/,The occurrence of the event was unexpected.,事件の発生は予期されなかった。
overwhelm,"【動】圧倒する, 圧倒的な力を加える.",/ˌoʊ.vərˈwɛlm/,The amount of work can overwhelm me sometimes.,仕事の量は時々私を苦しめることがあります。
overview,"【名】概要, 概観.",/ˈoʊvərˌvjuː/,"Before we get into the details, let me give you a brief overview of the project.",詳しい説明に入る前に、プロジェクトの概要を説明します。
partition,"【名】分割, 区分.",/pɑrˈtɪʃən/,The room was divided into two partitions.,部屋は2つのパーティションに分割されていた。
performer,"【名】実行者, 演奏者.",/pɚˈfɔːrmɚ/,The performer captivated the audience with their incredible talent.,パフォーマーは信じられない才能で観客を魅了しました。
pensioner,【名】年金受給者.,/pɛnʃənər/,My grandfather is a pensioner.,私の祖父は恩給受給者です。
perpetual,"【形】永久の, 永続的な.",/pərˈpɛtʃuəl/,He has a perpetual smile on his face.,彼は顔に永遠の笑顔を浮かべている。
